"collection_name","article_id","title","doi","tags"
"Casualties and first aid","7492187","Referral of a casualty to medical staff","https://doi.org/10.17028/rd.lboro.7492187.v1","Line drawings"
"Casualties and first aid","7286945","Volunteer performs rescue breaths","https://doi.org/10.17028/rd.lboro.7286945.v1","Line drawings"
"Casualties and first aid","7286894","Treating a bleeding wound with pressure","https://doi.org/10.17028/rd.lboro.7286894.v1","Line drawings"
"Casualties and first aid","7286921","Types of fracture","https://doi.org/10.17028/rd.lboro.7286921.v1","Line drawings"
"Casualties and first aid","7286948","Woman feeling cold and clammy","https://doi.org/10.17028/rd.lboro.7286948.v1","Line drawings"
"Casualties and first aid","7286651","Recovery position","https://doi.org/10.17028/rd.lboro.7286651.v1","Line drawings"
"Casualties and first aid","7286687","Rest position for a heart attack victim","https://doi.org/10.17028/rd.lboro.7286687.v1","Line drawings"
"Casualties and first aid","7286804","Stroke victim","https://doi.org/10.17028/rd.lboro.7286804.v1","Line drawings"
"Casualties and first aid","7286771","Stopping a nose bleed","https://doi.org/10.17028/rd.lboro.7286771.v1","Line drawings"
"Casualties and first aid","7286816","Taking pills regularly","https://doi.org/10.17028/rd.lboro.7286816.v1","Line drawings"
"Casualties and first aid","7286513","Man with a fever","https://doi.org/10.17028/rd.lboro.7286513.v1","Line drawings"
"Casualties and first aid","7286540","Severe chest pain – heart attack","https://doi.org/10.17028/rd.lboro.7286540.v1","Line drawings"
"Casualties and first aid","7286561","Mouth-to-mouth resuscitation","https://doi.org/10.17028/rd.lboro.7286561.v1","Line drawings"
"Casualties and first aid","7286624","Person convulsing","https://doi.org/10.17028/rd.lboro.7286624.v1","Line drawings"
"Casualties and first aid","7286459","Improvised stretcher using a blanket","https://doi.org/10.17028/rd.lboro.7286459.v1","Line drawings"
"Casualties and first aid","7286480","Improvised stretcher using a rope","https://doi.org/10.17028/rd.lboro.7286480.v1","Line drawings"
