"collection_name","article_id","title","doi","tags","thumbnail_file"
"Casualties and first aid","7492187","Referral of a casualty to medical staff","https://doi.org/10.17028/rd.lboro.7492187.v1","Line drawings","7492187_thumbnail.jpg"
"Casualties and first aid","7286945","Volunteer performs rescue breaths","https://doi.org/10.17028/rd.lboro.7286945.v1","Line drawings","7286945_thumbnail.jpg"
"Casualties and first aid","7286894","Treating a bleeding wound with pressure","https://doi.org/10.17028/rd.lboro.7286894.v1","Line drawings","7286894_thumbnail.jpg"
"Casualties and first aid","7286921","Types of fracture","https://doi.org/10.17028/rd.lboro.7286921.v1","Line drawings","7286921_thumbnail.jpg"
"Casualties and first aid","7286948","Woman feeling cold and clammy","https://doi.org/10.17028/rd.lboro.7286948.v1","Line drawings","7286948_thumbnail.jpg"
"Casualties and first aid","7286651","Recovery position","https://doi.org/10.17028/rd.lboro.7286651.v1","Line drawings","7286651_thumbnail.jpg"
"Casualties and first aid","7286687","Rest position for a heart attack victim","https://doi.org/10.17028/rd.lboro.7286687.v1","Line drawings","7286687_thumbnail.jpg"
"Casualties and first aid","7286804","Stroke victim","https://doi.org/10.17028/rd.lboro.7286804.v1","Line drawings","7286804_thumbnail.jpg"
"Casualties and first aid","7286771","Stopping a nose bleed","https://doi.org/10.17028/rd.lboro.7286771.v1","Line drawings","7286771_thumbnail.jpg"
"Casualties and first aid","7286816","Taking pills regularly","https://doi.org/10.17028/rd.lboro.7286816.v1","Line drawings","7286816_thumbnail.jpg"
"Casualties and first aid","7286513","Man with a fever","https://doi.org/10.17028/rd.lboro.7286513.v1","Line drawings","7286513_thumbnail.jpg"
"Casualties and first aid","7286540","Severe chest pain – heart attack","https://doi.org/10.17028/rd.lboro.7286540.v1","Line drawings","7286540_thumbnail.jpg"
"Casualties and first aid","7286561","Mouth-to-mouth resuscitation","https://doi.org/10.17028/rd.lboro.7286561.v1","Line drawings","7286561_thumbnail.jpg"
"Casualties and first aid","7286624","Person convulsing","https://doi.org/10.17028/rd.lboro.7286624.v1","Line drawings","7286624_thumbnail.jpg"
"Casualties and first aid","7286459","Improvised stretcher using a blanket","https://doi.org/10.17028/rd.lboro.7286459.v1","Line drawings","7286459_thumbnail.jpg"
"Casualties and first aid","7286480","Improvised stretcher using a rope","https://doi.org/10.17028/rd.lboro.7286480.v1","Line drawings","7286480_thumbnail.jpg"
"Casualties and first aid","7286486","Improvised stretcher using shirts","https://doi.org/10.17028/rd.lboro.7286486.v1","Line drawings","7286486_thumbnail.jpg"
"Casualties and first aid","7286501","Man choking","https://doi.org/10.17028/rd.lboro.7286501.v1","Line drawings","7286501_thumbnail.jpg"
"Casualties and first aid","7286363","Home care","https://doi.org/10.17028/rd.lboro.7286363.v1","Line drawings","7286363_thumbnail.jpg"
"Casualties and first aid","7286360","Head tilt – chin lift","https://doi.org/10.17028/rd.lboro.7286360.v1","Line drawings","7286360_thumbnail.jpg"
"Casualties and first aid","7286405","Immobilizing a lower limb fracture","https://doi.org/10.17028/rd.lboro.7286405.v1","Line drawings","7286405_thumbnail.jpg"
"Casualties and first aid","7286423","Immobilizing an upper limb fracture","https://doi.org/10.17028/rd.lboro.7286423.v1","Line drawings","7286423_thumbnail.jpg"
"Casualties and first aid","7286345","Child reaching for a hot pan","https://doi.org/10.17028/rd.lboro.7286345.v1","Line drawings","7286345_thumbnail.jpg"
"Casualties and first aid","7286354","First aid kit","https://doi.org/10.17028/rd.lboro.7286354.v1","Line drawings","7286354_thumbnail.jpg"
"Casualties and first aid","7286348","Cooling down a child","https://doi.org/10.17028/rd.lboro.7286348.v1","Line drawings","7286348_thumbnail.jpg"
"Casualties and first aid","7286357","Hazardous substances","https://doi.org/10.17028/rd.lboro.7286357.v1","Line drawings","7286357_thumbnail.jpg"
"Casualties and first aid","7286330","Back blows","https://doi.org/10.17028/rd.lboro.7286330.v1","Line drawings","7286330_thumbnail.jpg"
"Casualties and first aid","7286333","Checking for fever","https://doi.org/10.17028/rd.lboro.7286333.v1","Line drawings","7286333_thumbnail.jpg"
"Casualties and first aid","7286339","Chest compressions to an infant","https://doi.org/10.17028/rd.lboro.7286339.v1","Line drawings","7286339_thumbnail.jpg"
"Casualties and first aid","7286336","Chest compressions to a child","https://doi.org/10.17028/rd.lboro.7286336.v1","Line drawings","7286336_thumbnail.jpg"
"Casualties and first aid","7286342","Child drowning","https://doi.org/10.17028/rd.lboro.7286342.v1","Line drawings","7286342_thumbnail.jpg"
"Casualties and first aid","7286315","A man being rescued from water","https://doi.org/10.17028/rd.lboro.7286315.v1","Line drawings","7286315_thumbnail.jpg"
"Casualties and first aid","7286321","Abdominal thrust","https://doi.org/10.17028/rd.lboro.7286321.v1","Line drawings","7286321_thumbnail.jpg"
"Casualties and first aid","7286324","Accident from an electrical cable","https://doi.org/10.17028/rd.lboro.7286324.v1","Line drawings","7286324_thumbnail.jpg"
"Casualties and first aid","7286327","Applying pressure to a wound","https://doi.org/10.17028/rd.lboro.7286327.v1","Line drawings","7286327_thumbnail.jpg"
"Casualties and first aid","7286303","Immobilized casualty on a stretcher","https://doi.org/10.17028/rd.lboro.7286303.v1","Line drawings","7286303_thumbnail.jpg"
"Casualties and first aid","7286306","Volunteer helping a casualty","https://doi.org/10.17028/rd.lboro.7286306.v1","Line drawings","7286306_thumbnail.jpg"
"Casualties and first aid","7286309","Child playing with matches","https://doi.org/10.17028/rd.lboro.7286309.v1","Line drawings","7286309_thumbnail.jpg"
