"collection_name","title","year","doi"
"Casualties and first aid","Referral of a casualty to medical staff",2018,"https://doi.org/10.17028/rd.lboro.7492187.v1"
"Casualties and first aid","Volunteer performs rescue breaths",2018,"https://doi.org/10.17028/rd.lboro.7286945.v1"
"Casualties and first aid","Treating a bleeding wound with pressure",2018,"https://doi.org/10.17028/rd.lboro.7286894.v1"
"Casualties and first aid","Types of fracture",2018,"https://doi.org/10.17028/rd.lboro.7286921.v1"
"Casualties and first aid","Woman feeling cold and clammy",2018,"https://doi.org/10.17028/rd.lboro.7286948.v1"
"Casualties and first aid","Recovery position",2018,"https://doi.org/10.17028/rd.lboro.7286651.v1"
"Casualties and first aid","Rest position for a heart attack victim",2018,"https://doi.org/10.17028/rd.lboro.7286687.v1"
"Casualties and first aid","Stroke victim",2018,"https://doi.org/10.17028/rd.lboro.7286804.v1"
"Casualties and first aid","Stopping a nose bleed",2018,"https://doi.org/10.17028/rd.lboro.7286771.v1"
"Casualties and first aid","Taking pills regularly",2018,"https://doi.org/10.17028/rd.lboro.7286816.v1"
"Casualties and first aid","Man with a fever",2018,"https://doi.org/10.17028/rd.lboro.7286513.v1"
"Casualties and first aid","Severe chest pain – heart attack",2018,"https://doi.org/10.17028/rd.lboro.7286540.v1"
"Casualties and first aid","Mouth-to-mouth resuscitation",2018,"https://doi.org/10.17028/rd.lboro.7286561.v1"
"Casualties and first aid","Person convulsing",2018,"https://doi.org/10.17028/rd.lboro.7286624.v1"
"Casualties and first aid","Improvised stretcher using a blanket",2018,"https://doi.org/10.17028/rd.lboro.7286459.v1"
"Casualties and first aid","Improvised stretcher using a rope",2018,"https://doi.org/10.17028/rd.lboro.7286480.v1"
"Casualties and first aid","Improvised stretcher using shirts",2018,"https://doi.org/10.17028/rd.lboro.7286486.v1"
"Casualties and first aid","Man choking",2018,"https://doi.org/10.17028/rd.lboro.7286501.v1"
"Casualties and first aid","Home care",2018,"https://doi.org/10.17028/rd.lboro.7286363.v1"
"Casualties and first aid","Head tilt – chin lift",2018,"https://doi.org/10.17028/rd.lboro.7286360.v1"
"Casualties and first aid","Immobilizing a lower limb fracture",2018,"https://doi.org/10.17028/rd.lboro.7286405.v1"
"Casualties and first aid","Immobilizing an upper limb fracture",2018,"https://doi.org/10.17028/rd.lboro.7286423.v1"
"Casualties and first aid","Child reaching for a hot pan",2018,"https://doi.org/10.17028/rd.lboro.7286345.v1"
"Casualties and first aid","First aid kit",2018,"https://doi.org/10.17028/rd.lboro.7286354.v1"
"Casualties and first aid","Cooling down a child",2018,"https://doi.org/10.17028/rd.lboro.7286348.v1"
"Casualties and first aid","Hazardous substances",2018,"https://doi.org/10.17028/rd.lboro.7286357.v1"
"Casualties and first aid","Back blows",2018,"https://doi.org/10.17028/rd.lboro.7286330.v1"
"Casualties and first aid","Checking for fever",2018,"https://doi.org/10.17028/rd.lboro.7286333.v1"
"Casualties and first aid","Chest compressions to an infant",2018,"https://doi.org/10.17028/rd.lboro.7286339.v1"
"Casualties and first aid","Chest compressions to a child",2018,"https://doi.org/10.17028/rd.lboro.7286336.v1"
"Casualties and first aid","Child drowning",2018,"https://doi.org/10.17028/rd.lboro.7286342.v1"
"Casualties and first aid","A man being rescued from water",2018,"https://doi.org/10.17028/rd.lboro.7286315.v1"
"Casualties and first aid","Abdominal thrust",2018,"https://doi.org/10.17028/rd.lboro.7286321.v1"
"Casualties and first aid","Accident from an electrical cable",2018,"https://doi.org/10.17028/rd.lboro.7286324.v1"
"Casualties and first aid","Applying pressure to a wound",2018,"https://doi.org/10.17028/rd.lboro.7286327.v1"
"Casualties and first aid","Immobilized casualty on a stretcher",2018,"https://doi.org/10.17028/rd.lboro.7286303.v1"
"Casualties and first aid","Volunteer helping a casualty",2018,"https://doi.org/10.17028/rd.lboro.7286306.v1"
"Casualties and first aid","Child playing with matches",2018,"https://doi.org/10.17028/rd.lboro.7286309.v1"
"Casualties and first aid","Children playing near a live wire",2018,"https://doi.org/10.17028/rd.lboro.7286312.v1"
"Casualties and first aid","Giving blood",2018,"https://doi.org/10.17028/rd.lboro.7286291.v1"
"Casualties and first aid","Unit of blood",2018,"https://doi.org/10.17028/rd.lboro.7286294.v1"
"Casualties and first aid","Carrying a casualty on a stretcher",2018,"https://doi.org/10.17028/rd.lboro.7286297.v1"
"Buckets","Handwashing facility showing insulated bucket basin soap dish and concrete slab",2019,"https://doi.org/10.17028/rd.lboro.7844705.v1"
"Buckets","Temporary bucket latrine",2019,"https://doi.org/10.17028/rd.lboro.7869179.v1"
"Buckets","Kibble bucket for lifting and lowering material into wells",2019,"https://doi.org/10.17028/rd.lboro.7873973.v1"
"Buckets","Simple pit latrine with bucket",2019,"https://doi.org/10.17028/rd.lboro.7945898.v1"
"Buckets","The Blair bucket pump",2019,"https://doi.org/10.17028/rd.lboro.8069009.v1"
"Buckets","The Blair bucket and its valve",2019,"https://doi.org/10.17028/rd.lboro.8069003.v1"
"Buckets","Protected well with a double bucket systems",2019,"https://doi.org/10.17028/rd.lboro.8068985.v1"
"Buckets","The Blair bucket pump",2019,"https://doi.org/10.17028/rd.lboro.7959320.v1"
"Buckets","The Blair bucket and valve",2019,"https://doi.org/10.17028/rd.lboro.7959323.v1"
"Buckets","Protected well with double bucket system",2019,"https://doi.org/10.17028/rd.lboro.8059151.v1"
"Buckets","Well with windlass and bucket and cover v1",2019,"https://doi.org/10.17028/rd.lboro.8059139.v1"
"Buckets","Well with windlass and bucket and cover v2",2019,"https://doi.org/10.17028/rd.lboro.8059142.v1"
"Buckets","Protected well with double bucket system - colour",2019,"https://doi.org/10.17028/rd.lboro.8059145.v1"
"Buckets","The Blair bucket pump",2019,"https://doi.org/10.17028/rd.lboro.7959188.v1"
"Buckets","The Blair bucket and windlass",2019,"https://doi.org/10.17028/rd.lboro.7981961.v1"
"Buckets","The Blair bucket and its valve 2",2019,"https://doi.org/10.17028/rd.lboro.7981958.v1"
"Buckets","The Blair bucket and its valve 1",2019,"https://doi.org/10.17028/rd.lboro.7981955.v1"
"Buckets","Replacing the washer of a Blair bucket",2019,"https://doi.org/10.17028/rd.lboro.7981874.v1"
"Buckets","Rope and washer pump and Blair bucket",2019,"https://doi.org/10.17028/rd.lboro.7982639.v1"
"Buckets","Woman filling a bucket from a handpump",2019,"https://doi.org/10.17028/rd.lboro.7765079.v1"
"Buckets","Buckets and two taps",2019,"https://doi.org/10.17028/rd.lboro.7784069.v1"
"Buckets","Woman standing and holding a bucket of water on her head",2019,"https://doi.org/10.17028/rd.lboro.7798586.v1"
"Buckets","Woman walking and carrying a bucket of water on her head",2019,"https://doi.org/10.17028/rd.lboro.7798601.v1"
"Buckets","Woman holding a bucket of water on her head",2019,"https://doi.org/10.17028/rd.lboro.7798577.v1"
"Buckets","Man using a yoke to lift and carry two buckets of water",2019,"https://doi.org/10.17028/rd.lboro.7798544.v1"
"Buckets","Woman carrying water in a bucket",2019,"https://doi.org/10.17028/rd.lboro.7798565.v1"
"Buckets","Girl carrying a bucket 1",2019,"https://doi.org/10.17028/rd.lboro.7798535.v1"
"Buckets","Girl carrying a bucket 2",2019,"https://doi.org/10.17028/rd.lboro.7798541.v1"
"Buckets","Oxfam water bucket",2019,"https://doi.org/10.17028/rd.lboro.7798697.v1"
"Buckets","Bucket of turbid water",2019,"https://doi.org/10.17028/rd.lboro.7798757.v1"
"Buckets","Drawing water from a bucket with tap",2019,"https://doi.org/10.17028/rd.lboro.7798838.v1"
"Buckets","Bucket with a tap",2019,"https://doi.org/10.17028/rd.lboro.7798832.v1"
"Buckets","Replacing the washer of the Blair bucket",2019,"https://doi.org/10.17028/rd.lboro.7688615.v1"
"Buckets","Replacing the washer of the Blair bucket",2019,"https://doi.org/10.17028/rd.lboro.7688609.v1"
"Buckets","Replacing the washer of the Blair bucket",2019,"https://doi.org/10.17028/rd.lboro.7688612.v1"
